split,npy_index,image_filename,mask_filename,mask_sha256,image_mae,image_correlation
train,0,ISIC_0000240.jpg,ISIC_0000240_segmentation.png,386214f010bf42430d4ae3ef20bd0f8e61ade46ae1f6283dbd1eb4a07b885ea6,0.109848022,0.999945380
train,1,ISIC_0006940.jpg,ISIC_0006940_segmentation.png,1429516f9400e98547eb3f9f67a8430b68566cdffb9ca0deb8ab69db8d95ea04,0.108510335,0.999958466
train,2,ISIC_0011328.jpg,ISIC_0011328_segmentation.png,82ecbcf2ea31948fd0c8925faa37a3677bcfa8ead792414e14b8bd8de2e4760d,0.194966634,0.999850952
train,3,ISIC_0012377.jpg,ISIC_0012377_segmentation.png,3f00baf6db496cbda7117561af481a9445eadc415cc9a784f143e9b4e4d49020,0.275431315,0.999789720
train,4,ISIC_0013365.jpg,ISIC_0013365_segmentation.png,d5caa9baa089ed7d1b19a306323e9ec4e9c150408d2d72969c30bb68510771b2,0.455744425,0.999585635
train,5,ISIC_0010590.jpg,ISIC_0010590_segmentation.png,f9f14643407484b7f7b7ad876c65cf4573dfe61353b1bc0fdd863ff6698e6d25,0.078989665,0.999940378
train,6,ISIC_0011344.jpg,ISIC_0011344_segmentation.png,88c31dd0278db392cbf7a068af9683500061f0bb5b7e9da2f8aaa9e273bd3129,0.355097453,0.999648011
train,7,ISIC_0010089.jpg,ISIC_0010089_segmentation.png,6fc8bfdeac24304244aaea727f0770e116b45aa613a905a926744f5917ad65ae,0.130701701,0.999885129
train,8,ISIC_0014742.jpg,ISIC_0014742_segmentation.png,85772d146d002bf78abf51a19cfa74a29313c1d1314e5b44492418c11d30da8f,0.496414185,0.999930172
train,9,ISIC_0000126.jpg,ISIC_0000126_segmentation.png,43fb0a2a8392ba82064b7d348e69b3d2f510733b36305f747542dcf4c6679d49,0.000000000,1.000000000
train,10,ISIC_0013405.jpg,ISIC_0013405_segmentation.png,bfe371dcc4160bbb2f5d858398561065078fa4574ce6c7b091b9f5c4c94a8b57,0.237711589,0.998907572
train,11,ISIC_0012793.jpg,ISIC_0012793_segmentation.png,48c99cc90a4fd79dc569737ab6a1a7f2d0d2f8572e452cbfd4249be253a741ac,0.231679281,0.999835702
train,12,ISIC_0010251.jpg,ISIC_0010251_segmentation.png,71327d6d00a998f2a966bf6dc88c6a176efff5adcb0fdcf0cef813b46cfa2634,0.115203857,0.999936322
train,13,ISIC_0010471.jpg,ISIC_0010471_segmentation.png,6849c96b1c9a2ff22a04793990e57bf659dffd2acea7331fe893e65567cd6066,0.242838542,0.999923512
train,14,ISIC_0000455.jpg,ISIC_0000455_segmentation.png,fbff1b2942650985f683d9b74cd1a63bca5e89b302175a6680a1cadbac332d89,0.082463582,0.999951463
train,15,ISIC_0013316.jpg,ISIC_0013316_segmentation.png,f013d5631152346b35a9b410cd4c7a0c019a731b47042802d7a15d42a10a1441,0.226160685,0.999842620
train,16,ISIC_0011321.jpg,ISIC_0011321_segmentation.png,c3b33cfc45d05d82ae3e80f58d5820755887dd97c8dc99ab93293bebd055cf4e,0.155466715,0.999924278
train,17,ISIC_0014630.jpg,ISIC_0014630_segmentation.png,b4415e6ca0efa77903fe5b9e7678a4ede4e8294a4f47983a9353bcb9e9fc0a5a,0.148752848,0.999928196
train,18,ISIC_0011115.jpg,ISIC_0011115_segmentation.png,0bad2e915c0f35f01917e460efc50325570833bf3a0c5c5e6636d51c0022248c,0.262161255,0.999744174
train,19,ISIC_0010225.jpg,ISIC_0010225_segmentation.png,23e8a2ea5cb052ff398b06ef8d23c62fd1aa35451fa9a8c23c2d8d12005cf87e,0.203201294,0.999703346
train,20,ISIC_0000513.jpg,ISIC_0000513_segmentation.png,a259e31635c006b8430d2c94c9513a929870ecf6c5b75224a896ecc336528880,0.244501750,0.999860552
train,21,ISIC_0014108.jpg,ISIC_0014108_segmentation.png,b1b11c5c437f3c208fe5a83d280aa81ea98b0c0801b42f21c9fb31607699925a,0.084833781,0.999948895
train,22,ISIC_0008659.jpg,ISIC_0008659_segmentation.png,2672cc2dbaa5e4bb4a345f43f7d03816209958b5c058d9adec0311456701f996,0.211705526,0.999658977
train,23,ISIC_0013946.jpg,ISIC_0013946_segmentation.png,4986375e414cf95dabef9f183f9a7271917cd260d0ba9bb44dc7534add6b5dfe,0.172754924,0.999744824
train,24,ISIC_0009963.jpg,ISIC_0009963_segmentation.png,9bb1e0d804f98d71fe9a5cc096e7edd067e95f8157b6779ccf54b7a0695a766b,0.057907104,0.999907848
train,25,ISIC_0000193.jpg,ISIC_0000193_segmentation.png,a9379bc0e66b3bebc09a42a2fda84331b7b5efd7bbffcddad25c5add491f62f7,0.209314982,0.999935093
train,26,ISIC_0001100.jpg,ISIC_0001100_segmentation.png,081bbf296b8a3f0a2a952913d641e554b2bb97ed0619e5c3d9aade7a24199670,0.112075806,0.999917221
train,27,ISIC_0012721.jpg,ISIC_0012721_segmentation.png,5544cfdb621e04f1aecfa6972dbbd9a5a57819f006bdf236adede233834a5c4e,0.151143392,0.999814038
train,28,ISIC_0002453.jpg,ISIC_0002453_segmentation.png,312bcf2df3c87d2d2354b2d24e553d0477508269fdccade7a6a4acf14f471a22,0.293457031,0.999736399
train,29,ISIC_0013927.jpg,ISIC_0013927_segmentation.png,4a6188a5ec42d3c4b2e3035a9f6dac4da29f5072fc3817f615676fa3f2cf40d7,0.226491292,0.999562762
train,30,ISIC_0012666.jpg,ISIC_0012666_segmentation.png,65b203b9c3b17f3efe9da79264d53a969c3d78700288661c7a1d1d73bb323036,0.104395549,0.999948339
train,31,ISIC_0012756.jpg,ISIC_0012756_segmentation.png,c4aae21ecf27aaccf9842fdc4e3486eeaf7d45c08c63401c8f7d478c07f9f4c1,0.100046794,0.999904676
train,32,ISIC_0011107.jpg,ISIC_0011107_segmentation.png,08939b055223c0cd90b405a9f48b50ef9ea9e53b2bd9b2ed556bcb84efc81030,0.274454753,0.999914173
train,33,ISIC_0010237.jpg,ISIC_0010237_segmentation.png,b3d794c24dacfda2a1fb7ce408cd5450c85035238ac31a99ea29e4aeba352ba1,0.211232503,0.999905548
train,34,ISIC_0010364.jpg,ISIC_0010364_segmentation.png,c679c2a503d5a52ec8779e152d4f3d82580010b80599613662cff9cbc12898d5,0.197525024,0.999894159
train,35,ISIC_0010088.jpg,ISIC_0010088_segmentation.png,751e82095cb29556eafaecde1eba503627b3b8a206501ed790f00dbd20a11faa,0.199305216,0.999800189
train,36,ISIC_0000303.jpg,ISIC_0000303_segmentation.png,0f4ad0ee345c70071ad7111d67694f614e2271c12d2b2878f145d9ead56dc1b0,0.000000000,1.000000000
train,37,ISIC_0012116.jpg,ISIC_0012116_segmentation.png,7c5c6008cfd1faa48cb9b380020924f9933269131ea06325d34fa707f7fb1332,0.233739217,0.999898842
train,38,ISIC_0000118.jpg,ISIC_0000118_segmentation.png,7fc19978610667fbd1241494647d97540441ddee00386f1cfddcc04f495df125,0.000000000,1.000000000
train,39,ISIC_0011168.jpg,ISIC_0011168_segmentation.png,90d4351e506780c567d5182eedf56b4d1f7645057fa3c21b992d1c6d56c1688e,0.207651774,0.999763401
train,40,ISIC_0011225.jpg,ISIC_0011225_segmentation.png,ab810b56954a76742dfb1a9b1592c00eef3d5c2bb70afbf474d50c79ab5fad92,0.216278076,0.999873574
train,41,ISIC_0000198.jpg,ISIC_0000198_segmentation.png,4fe1da15c1a1c81db54bf6b01b420633f738b779886adeedf6fc473cd21fcb2f,0.207194010,0.999958561
train,42,ISIC_0011102.jpg,ISIC_0011102_segmentation.png,e09f991954cb31738a6fa1adec422342f67cfa122966fd49e87cd77ca2e3157e,0.235290527,0.999860453
train,43,ISIC_0011169.jpg,ISIC_0011169_segmentation.png,a01e09dea83f11dc23d56f6210c62facbd03e7f2875c1b55218835aae6718133,0.188161214,0.999915899
train,44,ISIC_0012209.jpg,ISIC_0012209_segmentation.png,1e79f153c49779e426b590bcce8674d2e7dccc7748a0a90035d5c818c1c07429,0.225184123,0.999942567
train,45,ISIC_0012678.jpg,ISIC_0012678_segmentation.png,d583d957d9a0a767a995cbd7ee0dfa62ee2f4377ce745779c1f2460cd9fbfc92,0.132598877,0.999926857
train,46,ISIC_0005555.jpg,ISIC_0005555_segmentation.png,869d92616af8b7eb44eaa24924ddb63f58c5e2489f65e58e3fe911564c643132,0.271850586,0.999866676
train,47,ISIC_0013804.jpg,ISIC_0013804_segmentation.png,792a5d3d46fc5542ea9f0a59212391ef5ec7f2d2807247828bb3e6dfdf49e2b0,0.219034831,0.999747696
train,48,ISIC_0007322.jpg,ISIC_0007322_segmentation.png,9badcc3de0d2761fbb0fd8d970be6d24505e830c43e88b6e2380a1e8333369ef,0.215016683,0.999947900
train,49,ISIC_0011214.jpg,ISIC_0011214_segmentation.png,432d88acc41b90fa9154bb7a65a380f15ccfc9fb9cb5626c8e8736a164edff1a,0.206105550,0.999946412
train,50,ISIC_0009962.jpg,ISIC_0009962_segmentation.png,706cf2f3c0b192209f16195d1fdcfb0529face01dbef19b26005e2e3679cc183,0.223515828,0.999955431
train,51,ISIC_0014433.jpg,ISIC_0014433_segmentation.png,61f3b4ddaad466fb60a5974e01093113832e4d53c6696e5af54ed1b95a9a5fac,0.099685669,0.999905787
train,52,ISIC_0014692.jpg,ISIC_0014692_segmentation.png,86cc66b460e7b836ab375e3b0b1e071c73602f2d38d68f84fa739a5d4c3b7acf,0.553792318,0.999744336
train,53,ISIC_0000105.jpg,ISIC_0000105_segmentation.png,147a0576a5744fa01fbf83d58515492065dc12df4cabd5f86e6582df015f21ae,0.136428833,0.999924396
train,54,ISIC_0000136.jpg,ISIC_0000136_segmentation.png,c94c9b1d2adabccda57b333d423ea05534738ba8972251b9c2a85ebc2e2c5ec0,0.118713379,0.999991644
train,55,ISIC_0010205.jpg,ISIC_0010205_segmentation.png,aba10f39a128c888aabc083243121ce0c4f9940edf3a416ee99e41a4cd90de15,0.132202148,0.999960869
train,56,ISIC_0010455.jpg,ISIC_0010455_segmentation.png,b524fadca3c15c296958a871d15eda9206ead81c0c4e31e239d88d468d1e692a,0.236918132,0.999924097
train,57,ISIC_0000476.jpg,ISIC_0000476_segmentation.png,a1f7423866d7dde9ff5bcba8ae1f9f063188718ae595b034696d388ee37b4a59,0.217946370,0.999924036
train,58,ISIC_0009956.jpg,ISIC_0009956_segmentation.png,3367ed3fa951cbf258cbebc353ae31eb49e68476ffabf981f87d477a20c689c6,0.154937744,0.999932045
train,59,ISIC_0000037.jpg,ISIC_0000037_segmentation.png,8cd4fe608219c381961d9a2830ad435d4fe6c3703dad34f68f1fcaa5f8838fc7,0.147801717,0.999976405
train,60,ISIC_0013488.jpg,ISIC_0013488_segmentation.png,c8dcd9dfb9a553af493b0970a985f3b23342d08fb06d0bd9d98bf0759f11505c,0.356328328,0.999642737
train,61,ISIC_0010011.jpg,ISIC_0010011_segmentation.png,ce3128799c67e9692d527180e344bac15146367477700855eda90b5d337cd22c,0.165807088,0.999834694
train,62,ISIC_0010093.jpg,ISIC_0010093_segmentation.png,184d19d0c93c8fc41c61e8eda997f1f707cb16ab982733ce9cf302ee088aaff4,0.177225749,0.999853781
train,63,ISIC_0014602.jpg,ISIC_0014602_segmentation.png,70ef243f8f22efb8698a5578ca56de4dbe754ed3971d7d51e502755efe71b8cf,0.218739827,0.999913821
train,64,ISIC_0000002.jpg,ISIC_0000002_segmentation.png,3c12f7d57fe0a9c2d9359c1b191a48917fb7f1638150b3e67639b8cc82361221,0.227330526,0.999945852
train,65,ISIC_0013146.jpg,ISIC_0013146_segmentation.png,02c978c7216ad786871d47993941c9e0e313526ce299bf4faa9b83bcffef95da,0.160547892,0.999822237
train,66,ISIC_0014711.jpg,ISIC_0014711_segmentation.png,c6794af9a0b1d3e32d1d8624f9fcfb1d54784c347d5bf10ed4814f4bd656e550,0.335876465,0.999948602
train,67,ISIC_0012359.jpg,ISIC_0012359_segmentation.png,1f6308d18e3e5137c5e948263ef74d91b2d798dd2e3a26964102b9749f39251f,0.188385010,0.999689331
train,68,ISIC_0000094.jpg,ISIC_0000094_segmentation.png,13ee8870f7565233c5d9eeb011cf8044b4e1c4a097e4a9e1fb25db3c10fa1d4b,0.190831502,0.999885496
train,69,ISIC_0014547.jpg,ISIC_0014547_segmentation.png,0bb82a5f9fd6cee5bd8f77d029b4f676d6838c895e43c1009a7b344d7ad8e26f,0.114023844,0.999843357
